,Unit Type,IMEI,Company,Phone Number,Last Event Date
67,Queclink GL 300,862369030202168,**CANCELADO VENTAS,,5/16/2020 12:01:30 PM
68,Queclink GL 300,862369031455419,**CANCELADO VENTAS,5901019161327,6/4/2020 6:10:18 AM
69,Queclink GL 300,862369030511832,**CANCELADO VENTAS,,4/4/2019 11:33:06 PM
70,Queclink GL 300,862369030516518,**CANCELADO VENTAS,	,2/23/2019 11:40:36 AM
71,Queclink GL 300,862369030510610,**CANCELADO VENTAS,,3/24/2020 2:21:02 PM
72,Queclink GL 300,862369030517060,**CANCELADO VENTAS,,6/21/2020 10:31:45 AM
73,Queclink GL 300,862369030522177,**CANCELADO VENTAS,,6/5/2020 12:36:56 PM
74,Queclink GL 300,862369030529867,**CANCELADO VENTAS,5901009782991,9/16/2023 3:41:55 PM
75,Queclink GL 300,862369030536060,**CANCELADO VENTAS,5901009808956,1/4/2024 6:17:48 AM
76,Queclink GL 300,862369030530519,**CANCELADO VENTAS,5901000291162,8/23/2023 4:51:02 PM
77,Queclink GL 300,862369030533281,**CANCELADO VENTAS,5901009795938,1/4/2024 6:17:57 AM
78,Queclink GL 300,862369030351270,**CANCELADO VENTAS,5901009740048,1/4/2024 6:04:55 AM
79,Queclink GL 300,862369030555904,**CANCELADO VENTAS,,3/4/2021 1:13:59 AM
80,Queclink GL 300,862369031024074,**CANCELADO VENTAS,5901014341875,1/25/2022 4:53:27 PM
81,Queclink GL 300,862369030206631,**CANCELADO VENTAS,,2/18/2020 10:21:07 AM
82,Queclink GL 300,862369031294735,**CANCELADO VENTAS,5901017947936,6/16/2023 9:27:05 AM
83,Queclink GL 300,862369031308782,**CANCELADO VENTAS,5901017946734,8/23/2023 4:51:09 PM
84,Queclink GL 300,862369031302132,**CANCELADO VENTAS,5901017947945,8/23/2023 1:54:57 PM
85,Queclink GL 300,862369031020809,**CANCELADO VENTAS,5901014341876,2/28/2023 3:11:26 PM
86,Queclink GL 300,862369030515080,**CANCELADO VENTAS,,6/18/2020 7:22:42 AM
87,Queclink GL 300,862369030533059,**CANCELADO VENTAS,5901009579833,2/23/2022 6:56:40 AM
88,Queclink GL 300,862369030526855,**CANCELADO VENTAS,5901009534243	,1/28/2022 1:44:23 PM
89,Queclink GL 300,862369030545269,**CANCELADO VENTAS,,11/6/2020 6:58:48 PM
90,Queclink GL 300,015181003719342,**CANCELADO VENTAS,5901012588946,12/2/2021 9:41:24 PM
91,Queclink GL 300,862369031055201,**CANCELADO VENTAS,00,3/25/2023 8:56:16 AM
92,Queclink GL 300,862369030203653,**CANCELADO VENTAS,,12/23/2018 12:24:54 PM
93,Queclink GL 300,862369030539403,**CANCELADO VENTAS,5901012193251,9/16/2023 10:32:36 PM
94,Queclink GL 300,862369030195040,**CANCELADO VENTAS,,3/18/2020 1:37:33 AM
95,Queclink GL 300,862369030200717,**CANCELADO VENTAS,,4/5/2020 12:38:00 PM
96,Queclink GL 300,862369030630335,**CANCELADO VENTAS,,11/24/2021 11:02:01 AM
97,Queclink GL 300,862369030531095,**CANCELADO VENTAS,5901009432753,9/17/2023 9:58:52 PM
98,Queclink GL 300,862369030522565,**CANCELADO VENTAS,,7/31/2020 11:26:56 PM
1337,Queclink GL 300,860599000668574,**CANCELADO VENTAS,5901005013962,2/28/2024 5:32:38 PM
1414,Queclink GL 300,860599000665984,**CANCELADO VENTAS,8122002002,5/30/2023 11:19:21 AM
1561,Queclink GL 300,860599000670885,**CANCELADOS COMODATO,,7/3/2019 4:59:38 PM
1562,Queclink GL 300,,**CANCELADOS COMODATO,,4/19/2021 5:40:40 PM
1563,Queclink GL 300,860599001198514,**CANCELADOS COMODATO,,3/23/2019 1:54:17 AM
1564,Queclink GL 300,862369030530758,**CANCELADOS COMODATO,,11/3/2020 9:38:21 AM
1565,Queclink GL 300,215643215,**CANCELADOS COMODATO,5901017946742,12/4/2023 1:28:30 PM
1566,Queclink GL 300,862369030542282,**CANCELADOS COMODATO,00,12/8/2021 2:59:22 PM
1567,Queclink GL 300,,**CANCELADOS COMODATO,,2/22/2021 2:58:07 PM
1568,Queclink GL 300,860599000670075,**CANCELADOS COMODATO,5901008465245,11/8/2023 10:35:17 AM
2070,Queclink GL 300,862369030521682,**INVENTARIO COMODATO,,2/22/2020 6:59:28 PM
2402,Queclink GL 300,862369030521500,**Inventory,,2/11/2019 8:13:53 AM
2403,Queclink GL 300,860599000692756,**Inventory,,10/15/2017 3:20:57 PM
3177,Queclink GL 300,C316,**Inventory,,10/31/2016 1:43:34 PM
4002,Queclink GL 300,862369031307867,ABRIL ANAHI PIÑA LOPEZ,5901019684253,7/27/2024 1:00:29 PM
4078,Queclink GL 300,862369030557033,ARNULFO JESUS MEJIA GONZALEZ,5901009757296,2/20/2024 7:25:01 AM
4204,Queclink GL 300,862369031329952,CAFETERA EL GRANDE SA DE CV,5901017369667,10/2/2024 9:41:38 AM
4292,Queclink GL 300,862369031375625,CELESTINO MENDIETA MEDINA,5901020046340,9/29/2024 4:27:18 PM
4348,Queclink GL 300,862369031469030,EMPACADORA SAMAGO,5901020276399,10/2/2024 3:48:20 PM
4518,Queclink GL 300,862369030514745,JORGE LUIS HERNANDEZ GUERRERO ,5901008478893,8/1/2024 5:33:45 AM
4567,Queclink GL 300,862369030524108,JOSE LUIS MARTINEZ VAZQUEZ,5901012191715,10/1/2024 10:59:57 AM
4623,Queclink GL 300,862369030696195,MEGA POLLOS,5901012566557,7/24/2024 2:58:41 PM
4800,Queclink GL 300,862369031312990,RUBEN JIMENEZ,5901017946740,6/8/2023 1:18:37 PM
4801,Queclink GL 300,862369030638221,SAN ANGEL MUDANZAS,5901012588968,7/19/2023 6:38:34 PM
