,NUMERO_DOCUMENTO,CUENTA,RAZON SOCIAL,LINEA,CICLO,SIMCARD
0,900361602,1014263356,TRACKING SOLUTIONS TSO,9101164749,26,8957123112215383868
1,900361602,1014263356,TRACKING SOLUTIONS TSO,9101170608,26,8957123110542474004
2,900361602,1014263356,TRACKING SOLUTIONS TSO,9101193948,26,8957123110544397559
3,900361602,1014263356,TRACKING SOLUTIONS TSO,9101063969,26,8957123112215164102
4,900361602,1014263356,TRACKING SOLUTIONS TSO,9101147349,26,8957123112215383702
5,900361602,1014263356,TRACKING SOLUTIONS TSO,9101332564,26,8957123112215385178
6,900361602,1014263356,TRACKING SOLUTIONS TSO,9101184406,26,8957123111416388551
7,900361602,1014263356,TRACKING SOLUTIONS TSO,9101186252,26,8957123110545220701
8,900361602,1014263356,TRACKING SOLUTIONS TSO,9101261548,26,8957123112215160837
9,900361602,1014263356,TRACKING SOLUTIONS TSO,9101302245,26,8957123112215387315
10,900361602,1014263356,TRACKING SOLUTIONS TSO,9101419960,26,8957123112215164516
11,900361602,1014263356,TRACKING SOLUTIONS TSO,9101361896,26,8957123112215386440
12,900361602,1014263356,TRACKING SOLUTIONS TSO,9101382438,26,8957123112215382308
13,900361602,1014263356,TRACKING SOLUTIONS TSO,9101168732,26,8957123110542477296
14,900361602,1014263356,TRACKING SOLUTIONS TSO,9101166801,26,8957123110545807572
15,900361602,1014263356,TRACKING SOLUTIONS TSO,9101166823,26,8957123110544468111
16,900361602,1014263356,TRACKING SOLUTIONS TSO,9101272354,26,8957123112215386655
17,900361602,1014263356,TRACKING SOLUTIONS TSO,9101302698,26,8957123112215384312
18,900361602,1014263356,TRACKING SOLUTIONS TSO,9101180297,26,8957123112102787668
19,900361602,1014263356,TRACKING SOLUTIONS TSO,9101334521,26,8957123112215381094
20,900361602,1014263356,TRACKING SOLUTIONS TSO,9101364363,26,8957123112215389154
21,900361602,1014263356,TRACKING SOLUTIONS TSO,9101397007,26,8957123112115870493
22,900361602,1014263356,TRACKING SOLUTIONS TSO,9101187853,26,8957123112215170067
23,900361602,1014263356,TRACKING SOLUTIONS TSO,9101435510,26,8957123112115870675
24,900361602,1014263356,TRACKING SOLUTIONS TSO,9101433532,26,8957123112215340660
25,900361602,1014263356,TRACKING SOLUTIONS TSO,9101428918,26,8957123111901265793
26,900361602,1014263356,TRACKING SOLUTIONS TSO,9101380483,26,8957123112215390152
27,900361602,1014263356,TRACKING SOLUTIONS TSO,9101057359,26,8957123112215389238
28,900361602,1014263356,TRACKING SOLUTIONS TSO,9101168758,26,8957123112102786488
29,900361602,1014263356,TRACKING SOLUTIONS TSO,9101170629,26,8957123311903276000
30,900361602,1014263356,TRACKING SOLUTIONS TSO,9101169049,26,8957123112215387976
31,900361602,1014263356,TRACKING SOLUTIONS TSO,9101180308,26,8957123310521561587
32,900361602,1014263356,TRACKING SOLUTIONS TSO,9101139877,26,8957123110545927438
33,900361602,1014263356,TRACKING SOLUTIONS TSO,9101139917,26,8957123110542479094
34,900361602,1014263356,TRACKING SOLUTIONS TSO,9101317639,26,8957123112215388941
35,900361602,1014263356,TRACKING SOLUTIONS TSO,9101331806,26,8957123411800049805
36,900361602,1014263356,TRACKING SOLUTIONS TSO,9101166947,26,8957123112102785332
37,900361602,1014263356,TRACKING SOLUTIONS TSO,9101263927,26,8957123112215386911
38,900361602,1014263356,TRACKING SOLUTIONS TSO,9101328057,26,8957123112009139302
39,900361602,1014263356,TRACKING SOLUTIONS TSO,9101294682,26,8957123112215381748
40,900361602,1014263356,TRACKING SOLUTIONS TSO,9101417145,26,8957123112215388719
41,900361602,1014263356,TRACKING SOLUTIONS TSO,9101139865,26,8957123110542475365
42,900361602,1014263356,TRACKING SOLUTIONS TSO,9101143681,26,8957123110545801922
43,900361602,1014263356,TRACKING SOLUTIONS TSO,9101143687,26,8957123110542476579
